ID,Категория,Статус,Приоритет,Описание,Как воспроизвести,Ожидаемое поведение
W-PS-01,Веб-Хосты,❓ Не проверено,,Список хостов — пагинация,Переключить страницу,Работает
W-PS-02,Веб-Хосты,❓ Не проверено,,Создание хоста — форма,Заполнить отправить,Хост появляется в списке
W-PS-03,Веб-Хосты,❓ Не проверено,,Детальная страница хоста,Кликнуть на название хоста в списке,Открывается страница с информацией и списком серверов на этом хосте
W-PS-04,Веб-Хосты,❓ Не проверено,,Детальная страница хоста — список серверов,Открыть страницу хоста,Отображаются только серверы на этом хосте
W-PR-01,Веб-Цены,❓ Не проверено,,История цен — отображение,Открыть /prices,Таблица с датами и ценами
W-PR-02,Веб-Цены,❓ Не проверено,,Добавление цены — форма,Заполнить дату и цены,Новая запись появляется в таблице
W-PR-03,Веб-Цены,❓ Не проверено,,Редактирование цены — защита истории,Попробовать отредактировать старую цену,Ошибка или блокировка
W-REP-01,Веб-Отчёты,❓ Не проверено,,Отчёты — выбор типа,Выбрать "Сводный",Отображается таблица с клиентами и суммами
W-REP-02,Веб-Отчёты,❓ Не проверено,,Отчёты — выбор периода,Выбрать start_date/end_date,Данные фильтруются по датам
W-REP-03,Веб-Отчёты,❓ Не проверено,,Отчёты — отображение в таблице,Сформировать любой отчёт,Данные в HTML-таблице а не JSON
W-DC-01,Веб-ЗагрузкаДЦ,❓ Не проверено,,Прогресс-бары для каждого хоста,Открыть /datacenter,Отображаются прогресс-бары для CPU RAM NVMe HDD
W-DC-02,Веб-ЗагрузкаДЦ,❓ Не проверено,,Общая загрузка,Открыть /datacenter,Отображаются средние проценты по ДЦ
B-01,Скрипты-Биллинг,❓ Не проверено,,Запуск за сегодня,python scripts/daily_billing.py,Создаются записи в daily_billing
B-02,Скрипты-Биллинг,❓ Не проверено,,Запуск за конкретную дату,python scripts/daily_billing.py --date 2025-03-15,Создаются записи за указанную дату
B-03,Скрипты-Биллинг,❓ Не проверено,,Защита от дубликатов,Запустить дважды без --force,Второй раз выводит предупреждение
B-04,Скрипты-Биллинг,❓ Не проверено,,Режим --force,python scripts/daily_billing.py --date 2025-03-15 --force,Существующие записи удаляются создаются новые
B-05,Скрипты-Биллинг,❓ Не проверено,,Режим --dry-run,python scripts/daily_billing.py --date 2025-03-15 --dry-run,Показывает что будет сделано без изменений
I-01,Скрипты-Импорт,❓ Не проверено,,Dry-run импорта,python scripts/import_history.py --csv data.csv --dry-run,Показывает статистику без загрузки
I-02,Скрипты-Импорт,❓ Не проверено,,Импорт новых клиентов,Загрузить CSV с новым клиентом,Клиент создаётся
I-03,Скрипты-Импорт,❓ Не проверено,,Импорт существующих клиентов,Загрузить CSV с клиентом который уже есть,Клиент не дублируется
INF-01,Инфраструктура,❓ Не проверено,,Запуск API,python run_api.py,Сервер запускается Swagger доступен
INF-02,Инфраструктура,❓ Не проверено,,Переменные окружения,Проверить .env.example,Все необходимые переменные описаны
INF-03,Инфраструктура,❓ Не проверено,,Зависимости,pip install -r requirements.txt,Все зависимости устанавливаются
